gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,neg_log10_padj
CD79B,9.792254187115878,-3.022261057804954,0.29720228489458905,-10.169037088247427,2.7259002452651517e-24,4.3587144921789775e-20,19.360641577537056
UBE2C,44.80737636522816,1.7566523880981257,0.1788946842628552,9.819477841594358,9.28230879551921e-23,4.947470588011738e-19,18.305616778931
AURKA,17.02378330133964,1.5691550185074885,0.15920477038559944,9.856206033945723,6.443837424953889e-23,4.947470588011738e-19,18.305616778931
GRB7,43.36015463570164,2.556666195167157,0.2686029661893635,9.518384072366207,1.7589278297240242e-21,5.62505119945743e-18,17.249873520231596
SH3BP5,10.087513625551852,-0.9347413080153303,0.09810978249921942,-9.527503620984659,1.611107592518481e-21,5.62505119945743e-18,17.249873520231596
RAE1,19.35092829535072,0.9030624212903524,0.09570350501519209,9.436043341850429,3.871221033022212e-21,1.0316804053004194e-17,16.98645481793241
CCNE1,16.046401414180735,2.8094834995539113,0.29907109509694835,9.39403220710171,5.7746237428407684e-21,1.3190890521146269e-17,16.879725884107554
DTX1,4.237855989652299,-1.7256590025234542,0.18609763146506228,-9.272869240398833,1.812045080730441e-20,3.621825105109969e-17,16.44107252523111
TOP2A,35.561652483870915,1.6510734210670732,0.18027362558735743,9.15870757958985,5.2522558370503054e-20,9.195018208925168e-17,16.036447406390245
TPX2,28.51066554553138,1.4370843542909641,0.15707691537921561,9.148921411026885,5.750480430847509e-20,9.195018208925168e-17,16.036447406390245
TSPAN11,3.267857137831756,-1.4384002456939775,0.16168360411850027,-8.896389052780844,5.769308217098305e-19,8.386476217400173e-16,15.076420480268132
CD37,14.635688042287486,-1.8996434230301311,0.21529264073399462,-8.823540909497416,1.1089615430590124e-18,1.477691256126134e-15,14.830416296501058
CSE1L,44.5298527834019,0.931360208257444,0.10598925326932365,8.787307953673514,1.5318643999730985e-18,1.8841932119669112e-15,14.724874565137272
GGH,36.069123779160556,1.9630051013297152,0.22362097757933658,8.778269027257416,1.6600979321786984e-18,1.8960689953955276e-15,14.722145863319488
MDFIC,6.485930977027935,-1.0439362533619159,0.1198979391885402,-8.70687403325857,3.1236991438931837e-18,3.3298632873901336e-15,14.477573596749203
BAMBI,17.16246793022685,2.507849754467845,0.28872787068751,8.685859624483875,3.7588886486303635e-18,3.756539343224969e-15,14.425212058320023
RASSF2,7.7450724443798284,-1.45950225572872,0.1682915812389589,-8.672461480151869,4.228778573408435e-18,3.9775393758118164e-15,14.400385512344323
