Gene,Mean_CIN,Mean_GS,Delta_Z,p_value,q_value,neg_log10_q
OR11H1,-0.13379999999999997,-0.1338,2.7755575615628914e-17,7.603065768196124e-21,1.622114081644643e-16,15.0
RAE1,2.84314921875,-0.1685851851851852,3.011734403935185,1.1730686945863425e-19,1.2513710299499808e-15,14.902613903440724
AURKA,1.6714328125,-0.558164814814815,2.229597627314815,2.5462619096177264e-18,1.81081659472314e-14,13.742125534188014
YTHDF1,2.6321914062500005,-0.10426111111111108,2.7364525173611116,6.532469086055041e-18,3.484255698774607e-14,13.457889980962886
UCKL1,1.91331171875,-0.3189518518518518,2.2322635706018517,1.488576826513231e-17,5.56117987269959e-14,13.254833057726996
TPD52L2,1.7834624999999997,-0.24133703703703707,2.024799537037037,1.5639596548487247e-17,5.56117987269959e-14,13.254833057726996
TPX2,1.09426640625,-0.6499351851851853,1.7442015914351854,1.9637439335539118e-17,5.985210974624673e-14,13.222920536402025
DSN1,1.7338171875,-0.4610444444444444,2.1948616319444443,3.49775153526629e-17,9.328066125613287e-14,13.030208383909335
E2F1,1.04569921875,-0.5216425925925926,1.5673418113425925,7.804201560123671e-17,1.8500293365026503e-13,12.732821384796877
CERS2,1.3315734375,-0.580688888888889,1.912262326388889,9.548463953868533e-17,2.0371647845578513e-13,12.690973839861062
DDX27,4.43896796875,0.7655944444444445,3.6733735243055556,1.0707092620632511e-16,2.0766892823744966e-13,12.682628478450397
TAF4,3.5796382812500003,0.001087037037037059,3.5785512442129632,2.106868737024277e-16,3.4822888450736943e-13,12.458135208342496
CSE1L,1.6256789062499999,-0.4510129629629629,2.076691869212963,2.1218539951234132e-16,3.4822888450736943e-13,12.458135208342496
NCOA6,2.0651062499999995,-0.1871555555555556,2.252261805555555,7.463175428968366e-16,1.1373346269788578e-12,11.94411173824165
SMG5,1.11198515625,-0.3395981481481481,1.451583304398148,1.078710051736168e-15,1.2897370890033237e-12,11.889498810965938
MSL3P1,0.75366484375,-0.4603592592592593,1.2140241030092593,1.0715841195616132e-15,1.2897370890033237e-12,11.889498810965938
TMEM189-UBE2V1,3.8359375,0.4877851851851851,3.348152314814815,1.0287708889189687e-15,1.2897370890033237e-12,11.889498810965938
ACTR5,1.97214453125,-0.22392777777777775,2.196072309027778,1.0881306586388482e-15,1.2897370890033237e-12,11.889498810965938
PIGU,1.88734140625,-0.23352407407407408,2.120865480324074,1.1783833136404044e-15,1.32320042086937e-12,11.878374369655784
TGIF2,2.37126015625,-0.06481296296296296,2.436073119212963,1.9387445503544798e-15,2.0681557490906413e-12,11.68441675841001
CDK5RAP1,2.05202265625,-0.22733703703703703,2.279359693287037,2.2403243102430805e-15,2.2760628170969584e-12,11.642815756010663
HDGF,1.08896640625,-0.5226296296296297,1.6115960358796295,2.5654793524138546e-15,2.487931908352254e-12,11.604161509926374
RPN2,2.11736953125,-0.1910462962962963,2.3084158275462965,2.8622634461749806e-15,2.65506046191927e-12,11.57592558457162
GMNN,0.29786640625,-0.7202018518518519,1.0180682581018519,4.180869580462535e-15,3.716618854132008e-12,11.42985197429159
PRC1,0.52172109375,-0.7728185185185182,1.2945396122685182,4.967101819460442e-15,4.238924692727541e-12,11.372744298889055
HM13,1.94714296875,-0.15276666666666666,2.0999096354166666,5.333529365179482e-15,4.305261132069187e-12,11.366000501637206
UBE2C,2.1046390625,-0.5634018518518518,2.6680409143518515,5.448420462426438e-15,4.305261132069187e-12,11.366000501637206
TRAIP,0.29021249999999993,-0.8088592592592592,1.0990717592592592,5.994728019040602e-15,4.5677686530796876e-12,11.340295900216502
EIF2S2,1.61051171875,-0.33490740740740743,1.9454191261574074,7.189586762125848e-15,5.289304605860517e-12,11.276601421667891
HJURP,0.30736953125,-0.805575925925926,1.1129454571759259,9.571942702165183e-15,6.7319105008820524e-12,11.171861666497675
TOMM34,1.7631500000000002,-0.32508888888888887,2.088238888888889,9.78154326352677e-15,6.7319105008820524e-12,11.171861666497675
PDRG1,2.4252484375,-0.1684981481481482,2.593746585648148,1.64122084218237e-14,1.0610741414533595e-11,10.974254269162651
DNAJB11,1.00672578125,-0.5220981481481481,1.528823929398148,1.615262189839106e-14,1.0610741414533595e-11,10.974254269162651
CENPA,0.46576640625000004,-0.7724648148148149,1.238231221064815,1.7316863418894066e-14,1.0866331795356026e-11,10.96391703824098
SMUG1,0.7735093749999999,-0.5360796296296296,1.3095890046296295,2.1190018391723592e-14,1.2916829782497795e-11,10.888844063501224
TMEM14A,0.5578109375,-0.4859425925925926,1.0437535300925926,2.478178308932106e-14,1.468664839474069e-11,10.833077302218229
MYBL2,1.5881953125,-0.32111296296296293,1.909308275462963,2.713472803290346e-14,1.5646470880594466e-11,10.805583603799406
KIF2C,0.28240000000000004,-0.7946814814814814,1.0770814814814815,2.804528545469059e-14,1.5745951715153254e-11,10.802831084652837
OSER1,1.9783789062499997,0.013190740740740734,1.965188165509259,2.942855499563802e-14,1.607170935176203e-11,10.793937930171412
WRNIP1,0.53297578125,-0.6376499999999999,1.17062578125,3.013210096416598e-14,1.607170935176203e-11,10.793937930171412
TDRKH,1.259965625,-0.301012962962963,1.560978587962963,3.486520992988545e-14,1.814266472814893e-11,10.741298925008095
SPATA2,2.8612578125,0.3566,2.5046578125,3.6583327290406395e-14,1.8583459231924298e-11,10.730873440745933
SYNE4,0.76990390625,-0.47068333333333334,1.2405872395833333,3.978496276639567e-14,1.9739818153977945e-11,10.704656852430704
CSTF1,2.2621812500000003,-0.07247222222222217,2.3346534722222225,5.461994572003125e-14,2.526508140634856e-11,10.597479298087892
RPRD1B,1.63614921875,-0.19069259259259258,1.8268418113425926,5.3396228981850036e-14,2.526508140634856e-11,10.597479298087892
UBE2Q1,1.4011624999999999,-0.36643703703703706,1.767599537037037,5.31597024448738e-14,2.526508140634856e-11,10.597479298087892
ANLN,0.57573046875,-0.6316796296296295,1.2074100983796296,5.5657784208970347e-14,2.526508140634856e-11,10.597479298087892
ZNF695,0.5374609375000001,-0.5568240740740741,1.0942850115740743,6.926296834275164e-14,3.0785946449845966e-11,10.511647490387354
EPB41L5,0.56960703125,-0.5274759259259257,1.0970829571759257,8.399621755814835e-14,3.657263880822643e-11,10.436843703088085
SNHG11,2.12842265625,0.14174814814814815,1.986674508101852,9.197301353942676e-14,3.9244884877273404e-11,10.406216940557957
TROAP,0.4612921875,-0.7847481481481481,1.2460403356481482,1.0266097829128673e-13,4.255838265699005e-11,10.371014884859886
CKS1B,0.67348828125,-0.5689425925925925,1.2424308738425927,1.0372795398000855e-13,4.255838265699005e-11,10.371014884859886
CPNE1,2.8408484375,0.16377962962962958,2.6770688078703704,1.1736030913673628e-13,4.565100999588314e-11,10.34054960956919
