TF,Mean_Act_CIN,Mean_Act_GS,Delta_Activity,p_value,q_value
E2F3,0.48139131066737256,-1.576010973246787,2.0574022839141595,1.1854947933084986e-13,2.1163549757996584e-11
E2F2,0.18283957822382563,-2.2687385278662577,2.4515781060900834,1.2710840695493445e-13,2.1163549757996584e-11
GLI1,-0.2630290479388797,0.7286733468466479,-0.9917023947855276,2.1630582776524775e-13,2.40099468819425e-11
E2F4,0.11457064690552021,-5.545337470665822,5.659908117571342,1.210000983182418e-12,9.417869798497964e-11
TFDP1,0.5702391924275931,-2.4305857598980443,3.0008249523256376,1.4140945643390336e-12,9.417869798497964e-11
EBF1,-0.334547868079661,2.76818231802989,-3.102730186109551,2.804642115906824e-12,1.5565763743282875e-10
MEF2C,-0.5278721670446176,1.9084457814209868,-2.4363179484656046,9.246054046008647e-12,4.3984799961726846e-10
NR2C2,1.285033930788062,-1.3737329483162284,2.6587668791042907,1.866101533212025e-11,7.767647631995054e-10
TP53,-0.9941914062691959,1.8972094703394478,-2.8914008766086434,4.136894468070932e-11,1.5306509531862447e-09
THAP11,0.7615877949638392,-1.1285213884396006,1.8901091834034398,6.256061461764117e-11,2.083268466767451e-09
PKNOX1,-0.2371262352202334,1.0876674726562927,-1.3247937078765262,1.3865352894726964e-10,4.19742046722189e-09
ATF6,0.14107939737678327,-1.062440557952557,1.2035199553293403,1.629563019052787e-10,4.522037377871484e-09
DNMT1,0.12476413888979081,-0.8422159288081955,0.9669800676979863,2.85450139800919e-10,7.2068246891196765e-09
STAT5B,-0.4335038673545532,1.8555725284566,-2.2890763958111533,3.0298962656959604e-10,7.2068246891196765e-09
IRF4,-0.7717351680916431,1.6379158955857192,-2.4096510636773623,4.241264312894867e-10,9.415606774626605e-09
PRDM1,-0.2338829571344484,1.0413791217089388,-1.275262078843387,7.196023434351583e-10,1.4976723772744234e-08
SIX2,-0.049244729686354655,1.81655856306762,-1.8658032927539747,9.440336728869171e-10,1.849195371007902e-08
SOX10,-0.14006756372289714,1.437837861407582,-1.5779054251304792,3.375065516575217e-09,6.243871205664151e-08
YBX1,0.30350136046522824,1.2565461904918873,-0.9530448300266591,3.846341162961117e-09,6.7412189856108e-08
SPI1,-1.34746693893951,3.379776210171784,-4.727243149111294,4.381436392271134e-09,7.210539822648519e-08
TAL1,-0.6108405124619206,4.009643467517201,-4.620483979979121,4.54718727554411e-09,7.210539822648519e-08
FOXO1,-0.11140422916383468,2.1091670276006393,-2.220571256764474,4.897193836170175e-09,7.412570670203039e-08
RUNX1,-0.6663879696441789,2.9155780881278126,-3.5819660577719916,1.096366601601795e-08,1.5873481666669468e-07
TP73,-0.40085428687615526,0.49771538911075164,-0.8985696759869068,1.3134679376496581e-08,1.7408970354296837e-07
SPIB,-0.44917455079290913,1.3890261735220963,-1.8382007243150054,1.3616455434570304e-08,1.7408970354296837e-07
TCF7,-0.47663769132012435,0.9437142387944062,-1.4203519301145304,1.3616455434570304e-08,1.7408970354296837e-07
MEF2A,-0.3126421016628346,3.007513921930693,-3.3201560235935275,1.4115381368348788e-08,1.7408970354296837e-07
TEAD4,-0.12063445065785555,1.8342304347348966,-1.9548648853927522,1.9831871250110645e-08,2.358576116531016e-07
MEF2B,0.009390461035214848,1.1884326947717214,-1.1790422337365065,2.1294521827214794e-08,2.445198540849147e-07
ERG,0.05756663894553843,2.2097921320990235,-2.152225493153485,2.286166985656283e-08,2.537645354078474e-07
EOMES,-0.17701834085085288,1.5206603130873484,-1.6976786539382012,2.633878056550126e-08,2.82929481558449e-07
TWIST1,-0.0006535416195322837,1.6464135699835647,-1.647067111603097,3.614143006653305e-08,3.7113459418229023e-07
MYOD1,-0.01606366840133002,1.841752890917328,-1.857816559318658,3.6779103927974705e-08,3.7113459418229023e-07
GATA2,-0.4804837279499602,4.674187661911542,-5.154671389861503,3.944067454569331e-08,3.8628660657987857e-07
MYC,-0.08627369767832128,-2.9853302019220402,2.899056504243719,4.693771757009912e-08,4.4177327497221815e-07
PDX1,-0.1534978194935708,1.2952787295387609,-1.4487765490323317,4.7759272969969534e-08,4.4177327497221815e-07
FLI1,-0.3766512416452768,1.972561414326283,-2.34921265597156,4.944440721902731e-08,4.449996649712458e-07
ZBTB33,-0.21308479221343404,-1.9372552335422673,1.7241704413288332,5.776790403543166e-08,5.062292643104932e-07
NFATC1,-0.28476909794794597,1.1171951691489959,-1.4019642670969419,6.629429383525567e-08,5.660512781317985e-07
SOX2,-0.33411979116458135,4.701169360286111,-5.035289151450693,7.347679872522082e-08,6.116943493874633e-07
GLI3,-0.15672091173233388,0.780361130580467,-0.9370820423128008,8.281098258055072e-08,6.72586760959107e-07
RARG,-0.26450744576433055,0.7142349707791518,-0.9787424165434824,9.171702625689092e-08,7.224460406089508e-07
NFE2,-0.14530505842880653,1.3860220897774238,-1.5313271482062303,9.328882806662128e-08,7.224460406089508e-07
GATA6,-0.18378833245480175,0.975936596416757,-1.1597249288715588,1.1625227788508105e-07,8.519051256784565e-07
RORA,0.18327428275314817,-0.5410531270287304,0.7243274097818786,1.182293120178347e-07,8.519051256784565e-07
ETV1,0.048108259146360646,1.0183474636143701,-0.9702392044680095,1.182293120178347e-07,8.519051256784565e-07
STAT5A,-0.5015780381123514,0.6284749665901325,-1.130053004702484,1.2023886158224462e-07,8.519051256784565e-07
