rank	gene	description	N	n	nflank	nsil	nnon	nnull	Fbflk	Fbsil	Fflk	Fsil	Fsf	Fsphere	Fnon	p	q
1	TP53	NA	273105	135	6	1	135	NA	NA	NA	NA	NA	NA	NA	NA	4.22E-15	7.70E-11
2	ARID1A	NA	1291147	59	7	4	59	NA	NA	NA	NA	NA	NA	NA	NA	1.03E-14	9.42E-11
3	B2M	NA	83035	14	2	1	14	NA	NA	NA	NA	NA	NA	NA	NA	7.84E-09	4.77E-05
4	PIK3CA	NA	751709	71	10	2	71	NA	NA	NA	NA	NA	NA	NA	NA	4.39E-08	2.00E-04
5	PTEN	NA	279784	22	3	4	22	NA	NA	NA	NA	NA	NA	NA	NA	7.19E-08	2.62E-04
6	KRAS	NA	175121	28	0	0	28	NA	NA	NA	NA	NA	NA	NA	NA	3.14E-07	9.55E-04
7	RHOA	NA	192172	17	7	0	17	NA	NA	NA	NA	NA	NA	NA	NA	6.21E-07	1.62E-03
8	MXRA8	NA	149611	16	11	3	16	NA	NA	NA	NA	NA	NA	NA	NA	5.04E-06	1.15E-02
9	CDH1	NA	564706	27	7	5	27	NA	NA	NA	NA	NA	NA	NA	NA	7.26E-05	1.47E-01
10	SMAD4	NA	382820	24	6	1	24	NA	NA	NA	NA	NA	NA	NA	NA	8.80E-05	1.61E-01
11	PGM5	NA	308645	29	2	0	29	NA	NA	NA	NA	NA	NA	NA	NA	1.23E-04	2.03E-01
12	PTH2	NA	42450	7	2	0	7	NA	NA	NA	NA	NA	NA	NA	NA	4.67E-04	7.11E-01
13	MAP2K7	NA	195530	22	5	0	22	NA	NA	NA	NA	NA	NA	NA	NA	7.06E-04	9.90E-01
